"","Year","State","avg_AQI"
"587",1991,"Iowa",34.0909090909091
"588",1991,"Kansas",27
"589",1991,"Kentucky",42.0416666666667
"590",1991,"Louisiana",33
"591",1991,"Maine",37.5
"592",1991,"Maryland",44.0833333333333
"593",1991,"Massachusetts",47.8181818181818
"594",1991,"Michigan",40.5217391304348
"595",1991,"Minnesota",30.9
"596",1991,"Mississippi",33.25
"597",1991,"Missouri",44.7
"598",1991,"Montana",37.4615384615385
"599",1991,"Nebraska",32.25
"600",1991,"Nevada",39.4
"601",1991,"New Hampshire",40
"602",1991,"New Jersey",42.4
"603",1991,"New Mexico",34.8333333333333
"604",1991,"New York",43.625
"605",1991,"North Carolina",34.8947368421053
"606",1991,"North Dakota",17.875
"607",1991,"Ohio",50.3684210526316
"608",1991,"Oklahoma",33.875
"609",1991,"Oregon",36.6428571428571
"610",1991,"Pennsylvania",50.25
"611",1991,"Puerto Rico",34.8333333333333
"612",1991,"Rhode Island",44
"613",1991,"South Carolina",33.5454545454545
"614",1991,"South Dakota",24.75
"615",1991,"Tennessee",39.7368421052632
"616",1991,"Texas",37.2
"617",1991,"Utah",40.8571428571429
"618",1991,"Vermont",30.75
"619",1991,"Virgin Islands",32
"620",1991,"Virginia",40.68
"621",1991,"Washington",36.1764705882353
"622",1991,"West Virginia",63.4545454545455
"623",1991,"Wisconsin",36.0952380952381
"624",1991,"Wyoming",28.7
"625",1992,"Alabama",32.25
"626",1992,"Alaska",32.5
"627",1992,"Arizona",34.0833333333333
"628",1992,"Arkansas",27.1
"629",1992,"California",48.8823529411765
"630",1992,"Colorado",33.2083333333333
"631",1992,"Connecticut",35.25
"632",1992,"Delaware",45.6666666666667
"633",1992,"District Of Columbia",54
"634",1992,"Florida",35.9130434782609
"635",1992,"Georgia",32
"636",1992,"Hawaii",23.5
"637",1992,"Idaho",29.8333333333333
"638",1992,"Illinois",40
"639",1992,"Indiana",43.6086956521739
"640",1992,"Iowa",33.8
"641",1992,"Kansas",31
"642",1992,"Kentucky",38.4230769230769
"643",1992,"Louisiana",35.5
"644",1992,"Maine",33.5
"645",1992,"Maryland",36.0714285714286
"646",1992,"Massachusetts",45.5454545454545
"647",1992,"Michigan",33.0909090909091
"648",1992,"Minnesota",27.0909090909091
"649",1992,"Mississippi",33
"650",1992,"Missouri",41
"651",1992,"Montana",33.5714285714286
"652",1992,"Nebraska",29.25
"653",1992,"Nevada",32.8333333333333
"654",1992,"New Hampshire",39.8333333333333
"655",1992,"New Jersey",38.0625
"656",1992,"New Mexico",36.5833333333333
"657",1992,"New York",39.5416666666667
"658",1992,"North Carolina",33.68
"659",1992,"North Dakota",17.625
"660",1992,"Ohio",42.7894736842105
"661",1992,"Oklahoma",32.875
"662",1992,"Oregon",36.7857142857143
"663",1992,"Pennsylvania",44.8214285714286
"664",1992,"Puerto Rico",30.8333333333333
"665",1992,"Rhode Island",41
"666",1992,"South Carolina",35.5454545454545
"667",1992,"South Dakota",24.75
"668",1992,"Tennessee",40.3684210526316
"669",1992,"Texas",38.3333333333333
"670",1992,"Utah",44.4285714285714
"671",1992,"Vermont",28.75
"672",1992,"Virgin Islands",35.5
"673",1992,"Virginia",36.9230769230769
"674",1992,"Washington",34.1
"675",1992,"West Virginia",54.3636363636364
"676",1992,"Wisconsin",32.1363636363636
"677",1992,"Wyoming",27.8
"678",1993,"Alabama",37.375
"679",1993,"Alaska",31.5
"680",1993,"Arizona",34.3
"681",1993,"Arkansas",28.2
"682",1993,"California",48.36
"683",1993,"Colorado",34.6666666666667
"684",1993,"Connecticut",37.625
"685",1993,"Country Of Mexico",49
"686",1993,"Delaware",53.3333333333333
"687",1993,"District Of Columbia",56
"688",1993,"Florida",37.28
"689",1993,"Georgia",36.1333333333333
"690",1993,"Hawaii",25.5
"691",1993,"Idaho",31.4545454545455
"692",1993,"Illinois",38.5454545454545
"693",1993,"Indiana",44.8260869565217
"694",1993,"Iowa",29.7
"695",1993,"Kansas",28
"696",1993,"Kentucky",40.1034482758621
"697",1993,"Louisiana",36.5789473684211
"698",1993,"Maine",33.9
"699",1993,"Maryland",40.0714285714286
"700",1993,"Massachusetts",44.2727272727273
"701",1993,"Michigan",36.9565217391304
"702",1993,"Minnesota",28.5
"703",1993,"Mississippi",34.125
"704",1993,"Missouri",36.8181818181818
"705",1993,"Montana",35.0714285714286
"706",1993,"Nebraska",26.75
"707",1993,"Nevada",35.1428571428571
"708",1993,"New Hampshire",38
"709",1993,"New Jersey",39.75
"710",1993,"New Mexico",33.25
"711",1993,"New York",39.7083333333333
"712",1993,"North Carolina",41.9259259259259
"713",1993,"North Dakota",17.625
"714",1993,"Ohio",45.4102564102564
"715",1993,"Oklahoma",27.125
"716",1993,"Oregon",33.3846153846154
"717",1993,"Pennsylvania",47.3214285714286
"718",1993,"Puerto Rico",30.7142857142857
"719",1993,"Rhode Island",41
"720",1993,"South Carolina",40.9166666666667
"721",1993,"South Dakota",16.75
"722",1993,"Tennessee",47.1052631578947
"723",1993,"Texas",34.0833333333333
"724",1993,"Utah",40.5
"725",1993,"Vermont",29.25
"726",1993,"Virgin Islands",30.5
"727",1993,"Virginia",41.2222222222222
"728",1993,"Washington",30.25
"729",1993,"West Virginia",60.3636363636364
"730",1993,"Wisconsin",33.2727272727273
"731",1993,"Wyoming",25.8
"732",1994,"Alabama",34.3125
"733",1994,"Alaska",30
"734",1994,"Arizona",37
"735",1994,"Arkansas",28.1
"736",1994,"California",50.4807692307692
"737",1994,"Colorado",32.96
"738",1994,"Connecticut",41.375
"739",1994,"Country Of Mexico",51.5
"740",1994,"Delaware",52.3333333333333
"741",1994,"District Of Columbia",58
"742",1994,"Florida",34.4
"743",1994,"Georgia",31.6666666666667
"744",1994,"Hawaii",26.5
"745",1994,"Idaho",27.5
"746",1994,"Illinois",41.5217391304348
"747",1994,"Indiana",48.2727272727273
"748",1994,"Iowa",30.1
"749",1994,"Kansas",29.2857142857143
"750",1994,"Kentucky",41.7241379310345
"751",1994,"Louisiana",35.5263157894737
"752",1994,"Maine",35
"753",1994,"Maryland",38.2857142857143
"754",1994,"Massachusetts",44.5454545454545
"755",1994,"Michigan",38.9565217391304
